Date,Total Uploads,iOS Uploads,iOS Uploads,Camera,Gallery,External,Camera (iOS),Gallery (iOS),External (iOS),Camera (iOS),Gallery (iOS),External (iOS)
2013-02-22,3,3,0,1,2,0,1,2,0,0,0,0
2013-02-25,19,19,0,3,16,0,3,16,0,0,0,0
2013-02-26,8,8,0,1,7,0,1,7,0,0,0,0
2013-02-27,5,5,0,0,5,0,0,5,0,0,0,0
2013-02-28,1,1,0,0,1,0,0,1,0,0,0,0
2013-03-02,6,6,0,0,6,0,0,6,0,0,0,0
2013-03-03,1,1,0,0,1,0,0,1,0,0,0,0
2013-03-04,1,1,0,0,1,0,0,1,0,0,0,0
2013-03-05,1,1,0,0,1,0,0,1,0,0,0,0
