date,Total Uploads,Android Uploads,iOS Uploads,Camera,Gallery,External,Camera (iOS),Gallery (iOS),External (iOS),Camera (iOS),Gallery (iOS),External (iOS)
2013/02/20,2,2,0,0,2,0,0,0,0,0,0,0
2013/02/21,2,2,0,0,2,0,0,0,0,0,0,0
2013/02/22,5,5,0,0,5,0,0,0,0,0,0,0
2013/02/23,8,8,0,2,0,6,0,0,0,0,0,0
2013/02/24,1,1,0,0,0,1,0,0,0,0,0,0
2013/02/25,34,22,12,9,25,0,2,10,0,2,10,0
2013/02/26,24,14,10,7,15,2,3,7,0,3,7,0
2013/02/27,66,9,57,4,61,1,3,54,0,3,54,0
2013/02/28,6,6,0,2,4,0,0,0,0,0,0,0
2013/03/01,37,3,34,12,25,0,10,24,0,10,24,0
2013/03/02,11,10,1,1,8,2,0,1,0,0,1,0
2013/03/03,2,0,2,0,2,0,0,2,0,0,2,0
2013/03/04,7,3,4,0,4,3,0,4,0,0,4,0
2013/03/05,10,10,0,2,3,5,0,0,0,0,0,0
2013/03/06,4,4,0,3,1,0,0,0,0,0,0,0
