date,Total,Android,iOS
2013/02/21,2,2,0
2013/02/22,6,5,1
2013/02/23,2,2,0
2013/02/24,1,1,0
2013/02/25,29,26,3
2013/02/26,15,13,2
2013/02/27,9,8,1
2013/02/28,6,3,3
2013/03/01,12,4,8
2013/03/02,6,6,0
2013/03/03,5,5,0
2013/03/04,6,6,0
2013/03/05,5,5,0
2013/03/06,2,2,0
2013/03/07,5,5,0
