date,Total,Android,iOS,Web
2013/02/17,0,0,0,0
2013/02/18,0,0,0,0
2013/02/19,0,0,0,0
2013/02/20,2,2,0,0
2013/02/21,2,2,0,0
2013/02/22,5,5,0,0
2013/02/23,8,8,0,0
2013/02/24,1,1,0,0
2013/02/25,34,22,12,0
2013/02/26,24,14,10,0
2013/02/27,66,9,57,0
2013/02/28,6,6,0,0
2013/03/01,37,3,34,0
2013/03/02,12,10,1,1
2013/03/03,6,0,2,4
2013/03/04,14,3,4,7
2013/03/05,25,10,0,15
2013/03/06,10,4,0,6
2013/03/07,12,3,0,9
2013/03/08,32,6,16,10
2013/03/09,36,28,0,8
2013/03/10,36,14,0,22
2013/03/11,23,16,0,7
2013/03/12,64,57,0,7
2013/03/13,85,44,35,6
2013/03/14,51,40,0,11
2013/03/15,61,52,0,9
2013/03/16,24,20,0,4
2013/03/17,39,27,0,12
2013/03/18,13,4,0,9
