date,Total,Android,iOS
2013/02/22,3,3,0
2013/02/25,19,19,0
2013/02/26,8,8,0
2013/02/27,5,5,0
2013/02/28,1,1,0
2013/03/02,6,6,0
2013/03/03,1,1,0
2013/03/04,1,1,0
2013/03/05,1,1,0
2013/03/06,1,1,0
2013/03/07,1,1,0
2013/03/08,4,4,0
2013/03/09,6,6,0
2013/03/10,2,2,0
2013/03/11,8,8,0
2013/03/12,6,6,0
2013/03/13,6,6,0
2013/03/14,7,7,0
2013/03/15,7,7,0
2013/03/17,1,1,0
