date,Total,Android,iOS,Web
2013/02/14,0,0,0,0
2013/02/15,0,0,0,0
2013/02/16,0,0,0,0
2013/02/17,0,0,0,0
2013/02/18,0,0,0,0
2013/02/19,0,0,0,0
2013/02/20,0,0,0,0
2013/02/21,1,1,0,0
2013/02/22,1,1,0,0
2013/02/23,1,1,0,0
2013/02/24,1,1,0,0
2013/02/25,1,1,0,0
2013/02/26,9,7,2,0
2013/02/27,15,11,6,0
2013/02/28,17,13,7,0
2013/03/01,20,16,7,0
2013/03/02,23,17,9,0
2013/03/03,28,21,9,1
2013/03/04,32,21,9,5
2013/03/05,39,21,9,12
2013/03/06,51,22,9,23
2013/03/07,57,23,9,28
2013/03/08,67,25,9,36
2013/03/09,76,28,9,42
2013/03/10,86,32,9,48
2013/03/11,106,35,9,65
2013/03/12,116,40,9,70
2013/03/13,129,48,9,75
2013/03/14,135,49,9,80
2013/03/15,145,52,9,87
