date,Total,Android,iOS,Web
2013/02/14,0,0,0,0
2013/02/15,0,0,0,0
2013/02/16,0,0,0,0
2013/02/17,0,0,0,0
2013/02/18,0,0,0,0
2013/02/19,0,0,0,0
2013/02/20,0,0,0,0
2013/02/21,5,5,0,0
2013/02/22,0,0,0,0
2013/02/23,1,1,0,0
2013/02/24,0,0,0,0
2013/02/25,4,4,0,0
2013/02/26,10,10,0,0
2013/02/27,0,0,0,0
2013/02/28,4,4,0,0
2013/03/01,6,6,0,0
2013/03/02,6,5,0,1
2013/03/03,4,0,0,4
2013/03/04,7,0,0,7
2013/03/05,15,0,0,15
2013/03/06,6,0,0,6
2013/03/07,11,2,0,9
2013/03/08,14,4,0,10
2013/03/09,12,4,0,8
2013/03/10,29,7,0,22
2013/03/11,7,0,0,7
2013/03/12,52,45,0,7
2013/03/13,49,43,0,6
2013/03/14,11,0,0,11
<<<<<<< HEAD
2013/03/15,14,5,0,9
=======
2013/03/15,11,5,0,6
>>>>>>> 7f4da8bde1b12a31626783234287e24ab1abf10c
