date,Total,Android,iOS,Web
2013/02/18,0,0,0,0
2013/02/19,0,0,0,0
2013/02/20,0,0,0,0
2013/02/21,2,2,0,0
2013/02/22,4,4,0,0
2013/02/23,9,9,0,0
2013/02/24,17,17,0,0
2013/02/25,18,18,0,0
2013/02/26,52,40,12,0
2013/02/27,76,54,22,0
2013/02/28,142,63,79,0
2013/03/01,148,69,79,0
2013/03/02,185,72,113,0
2013/03/03,197,82,114,1
2013/03/04,203,82,116,5
2013/03/05,217,85,120,12
2013/03/06,242,95,120,27
2013/03/07,252,99,120,33
2013/03/08,264,102,120,42
2013/03/09,296,108,136,52
2013/03/10,332,136,136,60
2013/03/11,368,150,136,82
2013/03/12,391,166,136,89
2013/03/13,455,223,136,96
2013/03/14,540,267,171,102
2013/03/15,591,307,171,113
2013/03/16,652,359,171,122
2013/03/17,676,379,171,126
2013/03/18,715,406,171,138
2013/03/19,734,412,171,151
